[INFO] Error stacktraces are turned on.
[INFO] Scanning for projects...
[INFO] 
[INFO] ------------------------------------------------------------------------
[INFO] Building Training Component 0.0.1-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.6.0:java (default-cli) @ TrainingComponent ---
Index 1 contains id m.06w2sn5
Index 1 contains id m.06w2sn5
Index 1 contains id m.06w2sn5
Index 1 contains id m.06w2sn5
Index 4 contains id m.03st9j
Index 4 contains id m.03st9j
Index 5 contains id m.0160w
Index 8 contains id m.084l5
Index 8 contains id m.084l5
Index 11 contains id m.05qhw
Index 11 contains id m.05qhw
Index 12 contains id m.01sn3
Index 13 contains id m.0c2m4
Index 13 contains id m.0c2m4
Index 14 contains id m.09c7w0
Index 15 contains id m.06c62
Index 15 contains id m.06c62
Index 15 contains id m.06c62
Index 16 contains id m.027nwk2
Index 16 contains id m.027nwk2
Index 17 contains id m.03rj0
Index 17 contains id m.03rj0
Index 17 contains id m.03rj0
Index 18 contains id m.0d3k14
Index 18 contains id m.0d3k14
Index 18 contains id m.0d3k14
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 19 contains id m.018rv0
Index 20 contains id m.05v8c
Index 20 contains id m.05v8c
Index 21 contains id m.01bkb
Index 23 contains id m.0ny57
Index 23 contains id m.0ny57
Index 23 contains id m.0ny57
Index 23 contains id m.0ny57
Index 23 contains id m.0ny57
Index 23 contains id m.0ny57
Index 23 contains id m.0ny57
Index 23 contains id m.0ny57
Index 23 contains id m.0ny57
Index 23 contains id m.0ny57
Index 23 contains id m.0ny57
Index 23 contains id m.0ny57
Index 23 contains id m.0ny57
Index 23 contains id m.0ny57
Index 23 contains id m.0ny57
